seed,spacing,hole_dist,in_hole,err_unguided,err_M20,err_force_ii,err_teacher_sign_tmag,benefit_force_ii,benefit_teacher_sign_tmag
42,0.093006,0.477378,0,6.0961,4.9334,4.6616,4.9636,1.4345,1.1325
42,0.475232,0.117764,1,5.8595,5.5273,5.2857,7.1279,0.5738,-1.2684
42,0.448046,0.069966,1,0.864,1.5133,3.1743,0.8187,-2.3103,0.0453
42,0.083775,0.10768,0,3.2762,0.9216,0.3629,1.3283,2.9133,1.9479
42,0.129248,0.104813,1,3.6164,3.7372,4.6734,3.6768,-1.057,-0.0604
42,0.331059,0.5203,0,0.2146,2.3222,1.2199,0.2901,-1.0053,-0.0755
42,0.082823,0.82506,0,5.0365,2.6809,1.8504,3.8436,3.1861,1.1929
42,0.315621,0.190078,1,4.9338,5.0999,6.2475,4.7224,-1.3137,0.2114
42,0.143359,0.044858,1,6.0329,6.2443,4.4625,4.4474,1.5704,1.5855
42,0.734122,0.274345,1,0.2151,1.1362,2.2687,2.6086,-2.0536,-2.3935
42,0.15651,0.668681,0,7.4612,6.3891,5.5133,6.7364,1.9479,0.7248
42,0.512759,0.089378,1,10.1967,9.4266,10.8611,11.5104,-0.6644,-1.3137
42,0.120239,0.255866,0,2.8903,1.788,1.0481,4.0228,1.8422,-1.1325
42,0.07476,0.881929,0,6.8795,6.4416,4.5541,5.0524,2.3254,1.8271
42,0.100678,1.174999,0,0.7938,2.5756,1.5035,1.3051,-0.7097,-0.5113
42,0.041168,1.204553,0,2.5564,4.3986,4.006,2.5262,-1.4496,0.0302
42,0.331571,0.137658,1,5.1762,4.6175,6.505,3.2283,-1.3288,1.9479
42,0.144537,0.055333,1,4.175,2.2875,3.722,0.2188,0.453,3.9562
42,0.368108,0.086176,1,5.222,1.6131,1.447,3.5459,3.775,1.6761
42,0.069009,0.145442,0,3.7992,5.8075,5.883,4.675,-2.0838,-0.8758
42,0.128553,0.923021,0,7.1024,6.9363,8.8389,6.0907,-1.7365,1.0117
42,0.15758,1.187954,0,7.3679,4.967,5.9938,5.4955,1.3741,1.8724
42,0.093409,0.894925,0,4.2215,1.6092,2.485,1.7602,1.7365,2.4613
42,0.406018,0.063901,1,3.4992,0.298,2.3063,0.4641,1.1929,3.0351
42,0.371643,0.101095,1,1.7269,1.2286,3.5389,1.9685,-1.812,-0.2416
42,0.129463,0.357236,0,11.5119,8.8241,10.1227,8.6127,1.3892,2.8992
42,0.142994,0.290112,0,1.777,1.2636,0.5388,0.4125,1.2382,1.3645
42,0.110315,0.216919,0,6.0273,6.9484,8.7755,5.2572,-2.7482,0.7701
42,0.074093,0.437599,0,2.7514,2.2078,2.1172,4.3067,0.6342,-1.5553
42,0.266718,0.102396,1,2.1351,2.8901,5.2457,4.0528,-3.1106,-1.9177
